"pclass","sex","age","family_size","fare","embarked"
3,1,34.5,0,7.8292,2
3,0,47.0,1,7.0,0
2,1,62.0,0,9.6875,2
3,1,27.0,0,8.6625,0
3,0,22.0,2,12.2875,0
3,1,14.0,0,9.225,0
3,0,30.0,0,7.6292,2
2,1,26.0,2,29.0,0
3,0,18.0,0,7.2292,1
3,1,21.0,2,24.15,0
3,1,0.2708333333333333,0,7.8958,0
1,1,46.0,0,26.0,0
1,0,23.0,1,82.2667,0
2,1,63.0,1,26.0,0
1,0,47.0,1,61.175,0
2,0,24.0,1,27.7208,1
2,1,35.0,0,12.35,2
3,1,21.0,0,7.225,1
3,0,27.0,1,7.925,0
3,0,45.0,0,7.225,1
1,1,55.0,1,59.4,1
3,1,9.0,1,3.1708,0
1,0,0.5972222222222222,0,31.6833,0
1,1,21.0,1,61.3792,1
1,0,48.0,4,262.375,1
3,1,50.0,1,14.5,0
1,0,22.0,1,61.9792,1
3,1,22.5,0,7.225,1
1,1,41.0,0,30.5,0
3,1,0.2708333333333333,2,21.6792,1
2,1,50.0,1,26.0,0
2,1,24.0,2,31.5,0
3,0,33.0,3,20.575,0
3,0,0.5972222222222222,3,23.45,0
1,1,30.0,1,57.75,1
3,1,18.5,0,7.2292,1
3,0,0.5512820512820513,0,8.05,0
3,0,21.0,0,8.6625,0
3,1,25.0,0,9.5,0
3,1,0.2708333333333333,0,56.4958,0
3,1,39.0,1,13.4167,1
1,1,0.2708333333333333,0,26.55,0
3,1,41.0,0,7.85,0
2,0,30.0,0,13.0,0
1,0,45.0,1,52.5542,0
3,1,25.0,0,7.925,0
1,1,45.0,0,29.7,1
3,1,0.2708333333333333,0,7.75,2
1,0,60.0,0,76.2917,1
3,0,36.0,2,15.9,0
1,1,24.0,1,60.0,0
2,1,27.0,0,15.0333,1
2,0,20.0,3,23.0,0
1,0,28.0,5,263.0,0
2,1,0.2708333333333333,0,15.5792,1
3,1,10.0,5,29.125,2
3,1,35.0,0,7.8958,0
3,1,25.0,0,7.65,0
3,1,0.2708333333333333,1,16.1,0
1,0,36.0,0,262.375,1
3,1,17.0,0,7.8958,0
2,1,32.0,0,13.5,0
3,1,18.0,0,7.75,0
3,0,22.0,0,7.725,2
1,1,13.0,4,262.375,1
2,0,0.5972222222222222,0,21.0,0
3,0,18.0,0,7.8792,2
1,1,47.0,0,42.4,0
1,1,31.0,0,28.5375,1
1,0,60.0,5,263.0,0
3,0,24.0,0,7.75,2
3,1,21.0,0,7.8958,0
3,0,29.0,0,7.925,0
1,1,28.5,0,27.7208,1
1,0,35.0,0,211.5,1
1,1,32.5,0,211.5,1
3,1,0.2708333333333333,0,8.05,0
1,0,55.0,2,25.7,0
2,1,30.0,0,13.0,0
3,0,24.0,0,7.75,2
3,1,6.0,2,15.2458,1
1,1,67.0,1,221.7792,0
1,1,49.0,0,26.0,0
3,1,0.2708333333333333,0,7.8958,0
2,1,0.2708333333333333,0,10.7083,2
3,1,0.2708333333333333,1,14.4542,1
3,0,27.0,0,7.8792,2
3,0,18.0,0,8.05,0
3,0,0.0,0,7.75,2
2,1,2.0,2,23.0,0
3,0,22.0,1,13.9,0
3,1,0.2708333333333333,0,7.775,0
1,0,27.0,3,52.0,0
3,1,0.2708333333333333,0,8.05,0
1,1,25.0,0,26.0,1
3,1,25.0,0,7.7958,0
1,0,76.0,1,78.85,0
3,1,29.0,0,7.925,0
3,0,20.0,0,7.8542,0
3,1,33.0,0,8.05,0
1,0,43.0,1,55.4417,1
2,1,27.0,1,26.0,0
3,1,0.2708333333333333,0,7.75,2
3,1,26.0,0,7.775,0
3,0,16.0,2,8.5167,1
3,1,28.0,0,22.525,0
3,1,21.0,0,7.8208,2
3,1,0.2708333333333333,0,7.75,2
3,1,0.2708333333333333,0,8.7125,0
2,1,18.5,0,13.0,0
2,1,41.0,0,15.0458,1
3,0,0.5512820512820513,0,7.7792,2
1,0,36.0,0,31.6792,1
3,0,18.5,0,7.2833,2
1,0,63.0,1,221.7792,0
3,1,18.0,1,14.4542,1
3,1,0.2708333333333333,0,6.4375,1
3,0,1.0,2,16.7,0
1,1,36.0,0,75.2417,1
2,0,29.0,1,26.0,0
2,0,12.0,0,15.75,0
3,1,0.2708333333333333,1,7.75,2
1,0,35.0,1,57.75,1
3,1,28.0,0,7.25,0
3,1,0.2708333333333333,0,7.75,2
3,0,17.0,1,16.1,0
3,1,22.0,0,7.7958,0
3,0,0.5512820512820513,2,23.25,2
2,1,42.0,0,13.0,0
3,1,24.0,0,8.05,0
3,1,32.0,0,8.05,0
1,1,53.0,0,28.5,1
3,0,0.5972222222222222,4,25.4667,0
3,1,0.2708333333333333,1,6.4375,1
3,1,43.0,0,7.8958,0
3,1,24.0,0,7.8542,0
3,1,26.5,0,7.225,1
2,1,26.0,0,13.0,0
3,0,23.0,0,8.05,0
3,1,40.0,7,46.9,0
3,0,10.0,7,46.9,0
1,0,33.0,0,151.55,0
1,1,61.0,4,262.375,1
2,1,28.0,0,26.0,0
